"type" "len_px"
1 36
1 46.8
1 42.2
1 29.5
1 8.5
1 9.6
1 49.7
1 66
1 30.5
1 6.4
1 53.9
1 33.7
1 45.3
1 38.7
1 61.1
1 67.2
1 62.7
1 14.1
1 38.7
1 9.6
1 9.7
1 27.9
1 47.1
1 80.8
1 15.8
1 55.1
1 4.1
1 6.4
1 86.2
1 36.8
1 38
1 33.5
1 33.6
1 22.1
1 23.3
1 15.2
1 13.2
1 9.1
1 59.6
1 11.7
1 52.4
1 24.2
1 65.7
1 54.3
1 64.9
1 8.4
1 5.4
1 5.3
1 13.7
1 47.3
1 8.3
1 49.6
1 46.2
1 58.1
1 33.2
1 25.4
1 72.7
1 43.9
1 84.4
1 26.7
1 51.3
1 8.1
1 61.8
1 16.5
1 9.1
1 7.5
1 14.5
1 50.3
1 3.5
1 46.7
1 79.5
1 34.7
1 10.8
1 9.4
1 56.2
1 47.3
1 56.9
1 197.6
1 32.6
1 7.7
1 39.2
1 53.2
1 26.7
1 68.9
1 17.4
1 13.7
1 55.3
1 53.1
1 5.4
1 19.8
1 35.8
1 47.2
1 30
1 123.9
1 74.1
1 24.6
1 58.7
1 15.6
1 41.5
1 4.2
1 52.8
1 11.9
1 72.4
1 32.7
1 30.6
1 40.9
1 46.5
1 13.8
1 5.3
1 50.5
1 92.2
1 36.2
1 13.7
1 24.2
1 38.9
1 17.7
1 48.4
1 37.8
1 5.2
1 10.7
1 21.5
1 53.8
1 42.2
1 43.6
1 276.7
1 7.7
1 44.8
1 240.3
1 10.1
1 9.4
1 26.1
1 8.3
1 21.4
1 139.6
1 58.5
1 39.3
1 44.1
1 2
1 10.2
1 45.1
1 41.1
1 7.9
1 48.3
1 220.8
1 108.9
1 2
1 29.1
1 56.7
1 23.7
1 4.2
1 49.3
1 49.1
1 6.5
1 24.5
1 14.3
1 24.8
1 86.6
1 51.3
1 12.5
1 68.6
1 18.9
1 45.6
1 65.3
1 52.8
1 6.5
1 48.8
1 51.5
1 5.4
1 26.5
1 50
1 7.2
1 42.1
1 23.3
1 50
1 90.1
1 29.6
1 10.4
1 169.6
1 79.4
1 5.7
1 9.7
1 57.6
1 70.1
1 36.2
1 8.6
1 8.5
1 87.1
1 16.6
1 34.9
1 92.3
1 3.5
1 2
1 7
1 122.4
1 50.3
1 23.6
1 8.7
1 43.4
1 38
1 54.7
1 58.5
1 14.2
1 41.1
1 31.5
1 24
1 31.5
1 29
1 31.6
1 15.6
1 6.7
1 11.6
1 41.2
1 32.7
1 79.2
1 46.7
1 22
1 30.5
1 36.3
1 53.2
1 41.5
1 8.5
1 57.2
1 69.9
1 81.7
1 71.9
1 10.4
1 14.2
1 4.2
1 63.7
1 46.9
1 39
1 8.6
1 7.8
1 15.9
1 65.5
1 7.9
1 28
1 6.8
1 81.8
1 11.2
1 38.3
1 33
1 83.2
1 14
1 38.7
1 121.2
1 73.5
1 34.5
1 282.7
1 33.5
1 23.9
1 52.1
1 15.2
1 12
1 2
1 34.7
1 26.5
1 65.7
1 33
1 41.6
1 193
1 5.7
1 39.2
1 6.5
1 39.5
1 20.2
1 48.2
1 17.3
1 57.7
1 59.5
1 56.9
1 48.5
1 13
1 16.7
1 8.2
1 46.1
1 65.3
1 20.4
1 15.8
1 73.3
1 25.7
1 8.2
1 52
1 18.2
